id,title,description,link,image_link,availability,price,sale_price,brand,gtin,product_type,google_product_category
301404/0099/S,FZ Forza Ajax Mens Shorts (White),,https://www.onlinebadminton.co.uk/fz-forza-ajax-0099-s?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/fz%20forza%20ajax%20feher.png?v=1577309408,in stock,34.21 GBP,25.65 GBP,FZ Forza,5711308236279,Clothing,
301607/0008/2XL,FZ Forza Laban Mens Jacket (Black),,https://www.onlinebadminton.co.uk/fz-forza-laban-0008-2xl?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/laban%20fekete.png?v=1577309408,in stock,42.77 GBP,25.65 GBP,FZ Forza,5711308628227,Clothing,
301859/XS,FZ Forza Martinez Mens Jacket,,https://www.onlinebadminton.co.uk/fz-forza-martinez-xs?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/fz%20martinez.png?v=1577309408,in stock,51.32 GBP,25.65 GBP,FZ Forza,5711308802399,Clothing,
301859/L,FZ Forza Martinez Mens Jacket,,https://www.onlinebadminton.co.uk/fz-forza-martinez-l?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/fz%20martinez.png?v=1577309408,in stock,51.32 GBP,25.65 GBP,FZ Forza,5711308802351,Clothing,
301859/M,FZ Forza Martinez Mens Jacket,,https://www.onlinebadminton.co.uk/fz-forza-martinez-m?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/fz%20martinez.png?v=1577309408,in stock,51.32 GBP,25.65 GBP,FZ Forza,5711308802368,Clothing,
302298/0099/XL,FZ Forza Dublin Mens Polo,,https://www.onlinebadminton.co.uk/fz-forza-dublin-xl?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/fz%20dublin%201.png?v=1577309408,in stock,38.49 GBP,21.37 GBP,FZ Forza,5711309059228,Clothing,
368/6/M,Victor TA Jacket Team petrol 3687,,https://www.onlinebadminton.co.uk/victor-ta-jacket-team-petrol-3687-m?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/victor%20TA%20jacket%20team%20petrol%203687.png?v=1577222526,in stock,38.49 GBP,29.93 GBP,Victor,1000000009903,Clothing,
368/6/S,Victor TA Jacket Team petrol 3687,,https://www.onlinebadminton.co.uk/victor-ta-jacket-team-petrol-3687-s?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/victor%20TA%20jacket%20team%20petrol%203687.png?v=1577309408,in stock,38.49 GBP,29.93 GBP,Victor,1000000009910,Clothing,
419/34,Victor Lady shorts 4197,,https://www.onlinebadminton.co.uk/victor-lady-short-34?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/victor%20lady%20short.png?v=1577309408,in stock,25.66 GBP,17.10 GBP,Victor,4005543419346,Clothing,
422/40,Victor Rock / Skirt (Black),,https://www.onlinebadminton.co.uk/victor-rock-skirt-black-40?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/victor%20skirt%20black.png?v=1577309408,in stock,25.66 GBP,17.10 GBP,Victor,1000000008098,Clothing,
422/36,Victor Rock / Skirt (Black),,https://www.onlinebadminton.co.uk/victor-rock-skirt-black-36?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/victor%20skirt%20black.png?v=1577309408,in stock,25.66 GBP,17.10 GBP,Victor,1000000008074,Clothing,
422/34,Victor Rock / Skirt (Black),,https://www.onlinebadminton.co.uk/victor-rock-skirt-black-34?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/victor%20skirt%20black.png?v=1577309408,in stock,25.66 GBP,17.10 GBP,Victor,1000000008067,Clothing,
477/42,Victor Rock / Skirt (White),,https://www.onlinebadminton.co.uk/victor-rock-skirt-white-42?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link,https://badmintonracket.cdn.shoprenter.hu/custom/badmintonracket/image/cache/w600h600m00wt1/product/victor%20skirt%20white.png?v=1577309408,in stock,25.66 GBP,17.10 GBP,Victor,1000000008166,Clothing,
